kcc,spelling,example_words
ន្តែ,,ប៉ុន្តែ (puntae)
ន្ធ,,ប្រពន្ធ (ppun pp)
ន្មា,,ប៉ុន្មាន (punman)
ន្លែ,,បន្លែ (bonlae)
ប,,ជំរាបសួរ (jomreabsur jumreabsur jumreapsur) | បង (bong) | បន្លែ (bonlae)
បា,,បាទ (bart bat) | បាយ (bay) | បាន (ban)
បិ,,បិទ (bit)
បុ័,,នំបុ័ង (nompang)
បួ,,បួន (boun)
បើ,,បើក (berk)
បេះ,,បេះដូង (besdong bsd)
បៃ,,បៃតង (beitorng)
ប៉ុ,,ប៉ុន្មាន (punman) | ប៉ុន្តែ (puntae)
ប់,,ស្តាប់ (sdap) | យប់ (yub) | ដប់ (dob dop)
ប្បា,,សប្បាយ (sabay sby)
ប្រ,,ប្រពន្ធ (ppun pp) | ប្រទេស (protes ptes) | ប្រហែល (prohel brohel)
ប្អូ,,"ប្អូន (p""o)"
ផឹ,,ផឹក (pherk)
ផ្លូ,,ផ្លូវ (plov)
ផ្សា,,ផ្សារ (psar phsar)
ព,,ប្រពន្ធ (ppun pp) | រូបភាព (rub pheap)
ពា,,ពាន់ (porn poun)
ពិ,,ពិបាក (pibak) | ពិត (pit) | ពិតជា (pit jea)
ពី,,ពីរ (pi)
ពុ,,កំពុង (kompong)
ពួ,,ពួកគេ (puk ke pouk)
ពេ,,ពេលណា (pel na bel) | ពេល (pel)
ព្ទ,,ទូរស័ព្ទ (tusab turasab)
ព្យូ,,កុំព្យូទ័រ (computer)
ព្រឹ,,ព្រឹក (prerk)
ភ,,មិត្តភក្តិ (mit pheak)
ភា,,រូបភាព (rub pheap) | ភាសា (pheasa)
ភៅ,,សៀវភៅ (seav phov siv)
ភ្នែ,,ភ្នែក (pnek)
ភ្លា,,ភ្លាម (pleam)
ភ្លើ,,ភ្លើង (plerng)
ភ្លេ,,ភ្លេច (plex plech)
ម,,មក (mk mor mok) | មនុស្ស (mnus monus) | ក្រហម (krohom)
មា,,មាន (mean)
មិ,,ម្សិលមិញ (msel minh) | មិត្តភក្តិ (mit pheak) | មិត្ត (mit)
មុ,,មុខ (muk mok) | ខាងមុខ (khang muk mok)
មួ,,មួយ (muy mouy) | ជាមួយ (jeamouy cheamouy jeamuy cheamuy) | មួយមួយ (mouy muy)
មើ,,មើល (merl mer)
មែ,,មែន (men)
ម៉ា,,ម៉ាក់ (mak)
ម៉ូ,,ម៉ូតូ (moto motor)
ម៉េ,,ម៉េច (mx mex mix)
ម៉ោ,,ម៉ោង (morng mg)
ម្ដ,,ម្ដង (mdg mdong)
ម្នា,,ម្នាក់ (mnek)
ម្រា,,សម្រាប់ (somrab somrap)
ម្រៀ,,ចម្រៀង (jomreang)
ម្សិ,,ម្សិលមិញ (msel minh)
ម្ហូ,,ម្ហូប (mhub)
យ,,លាហើយ (lea hz hx hy) | និយាយ (niyey) | យល់ (yol)
យា,,និយាយ (niyey)
យើ,,យើង (yg yerng)
រ,,ជំរាបសួរ (jomreabsur jumreabsur jumreapsur) | អរគុណ (orkun orkon) | ដើរ (der)
រា,,ជំរាបសួរ (jomreabsur jumreabsur jumreapsur)
រូ,,រូបភាព (rub pheap)
រួ,,រួច (rouch)
រៀ,,រៀន (rean)
រ្យ,,អស្ចារ្យ (osja orsja)
ល,,ពេលណា (pel na bel) | មើល (merl mer) | ចូលចិត្ត (jol jit)
លា,,លាហើយ (lea hz hx hy) | សាលា (sala sla)
លុ,,លុយ (luy)
លឿ,,លឿង (lerng)
លេ,,លេង (lg leng)
លោ,,លោក (lok)
ល់,,យល់ (yol) | ស្គាល់ (skol) | ដល់ (dol)
ល្ងា,,ល្ងាច (lgeach)
វ,,ឥឡូវ (eylov eilov) | ត្រូវ (trov trv) | សៀវភៅ (seav phov siv)
វែ,,វែង (veng)
សា,,គ្រួសារ (krursa kursa) | សាលា (sala sla) | សាច់ (sach)
សួ,,សួស្តី (sursdey sursdei) | ជំរាបសួរ (jomreabsur jumreabsur jumreapsur) | សួរ (sur)
សើ,,សើច (serj serch)
សៀ,,សៀវភៅ (seav phov siv)
សេ,,សរសេរ (sorsey)
ស់,,អស់ (ors os) | ណាស់ (nas) | ទាំងអស់ (tang os teang)
ស័,,ទូរស័ព្ទ (tusab turasab)
ស្គា,,ស្គាល់ (skol)
ស្ចា,,អស្ចារ្យ (osja orsja)
ស្ដា,,ស្ដាយ (sday)
ស្ដាំ,,ខាងស្ដាំ (khang sdam)
ស្តា,,ស្តាប់ (sdap)
ស្តី,,សួស្តី (sursdey sursdei)
ស្រ,,ស្រឡាញ់ (sl srolanh)
ស្រួ,,ស្រួល (srul)
ស្រេ,,ស្រេក (srek)
ស្លា,,ស្លាប់ (slab slap)
ស្ស,,មនុស្ស (mnus monus)
ស្អ,,ស្អប់ (s'oab soab)
ស្អា,,ស្អាត (sart)
ស្អុ,,ស្អុយ (sgnuy s'uy)
ស្អែ,,ស្អែក (saek s'aek)
ហ,,ក្រហម (krohom) | កុហក (kohork khk)
ហា,,ហាង (hang)
ហើ,,លាហើយ (lea hz hx hy) | ហើយ (hz hx hy)
ហេ,,ហេតុអ្វី (het ey heth avey)
ហែ,,ប្រហែល (prohel brohel)
ហ្គេ,,ហ្គេម (game)
ហ្វេ,,កាហ្វេ (café)
ឡ,,ត្រឡប់ (trolob)
ឡា,,ស្រឡាញ់ (sl srolanh) | ឡាន (lan)
ឡូ,,ឥឡូវ (eylov eilov)
ឡើ,,ឡើង (lerng)
អ,,អរគុណ (orkun orkon) | អស់ (ors os) | អង្គុយ (ongkuy)
អា,,អាច (ach) | អាក្រក់ (akk akkrok akrok) | អាវ (av)
អូ,,អូខេ (okay)
អ្ន,,អ្នក (nek) | អ្នកណា (nek nah na)
ឥ,,ឥឡូវ (eylov eilov)
ឯ,,ឯណា (aena)
